distance_km,elevation_gain_m,elevation_loss_m,gain_rate_m_per_km,max_elevation_m,min_elevation_m,elevation_range_m,mean_slope_deg,max_slope_deg,slope_variability,pct_steep_segments,exposure_index,difficulty,filename
13.48,1301,1301,96.5,1847,792,1055,13.4,61.0,9.9,18.8,0.22,moderate,dolomitas-anello-della-cima-dellalbero-gruppo-del-bosconero-.gpx
5.95,243,284,40.8,186,38,149,7.8,61.0,10.4,8.6,0.22,easy,cerdena-cala-fuili-cala-luna-vuelta-en-barco.gpx
9.38,568,568,60.6,1085,693,392,8.6,47.5,8.4,10.3,0.19,difficult,steamers-2021-update.gpx
12.21,606,621,49.6,1645,1271,374,7.8,50.6,7.8,7.7,0.12,moderate,mount-baker-wa-usa-chain-lakes-trail.gpx
8.09,967,963,119.6,2570,1615,955,17.8,60.5,11.7,35.2,0.15,very difficult,anello-monte-camicia-monte-tramoggia-campo-imperatore.gpx
11.08,928,903,83.8,2907,2129,778,12.7,56.2,11.3,22.8,0.11,very difficult,corno-grande-picco-confalonieri-e-rifugio-duca-degli-abruzzi.gpx
16.66,756,687,45.4,1525,1039,486,6.9,58.5,7.4,5.2,0.1,difficult,the-amatola-trail-day-5-mnyameni-to-zingcuka-mnyameni-easter.gpx
17.68,526,744,29.7,1287,985,302,5.4,55.7,6.0,3.2,0.09,difficult,the-amatola-trail-day-2-gwiligwili-to-donsta-gwiligwili-east.gpx
12.16,1338,1335,110.1,2587,1401,1186,15.4,73.0,12.7,26.5,0.17,moderate,chamonix-mont-blanc-la-jonction-mirador-glaciar-bossons-chal.gpx
11.84,962,960,81.3,2499,1590,909,11.6,62.1,9.8,16.3,0.23,easy,alp-04-las-tres-cascadas-y-el-refugio-deffeyes-the-three-wat.gpx
8.38,216,209,25.8,575,438,136,3.8,46.8,4.5,0.8,0.18,easy,krom-river-trail-limietberg-nr-du-toitskloof-paarl.gpx
13.18,1202,1189,91.2,1220,125,1096,15.1,63.3,13.0,29.7,0.19,very difficult,mt-barney-via-ser-summit-route.gpx
15.52,535,508,34.5,367,76,291,6.0,40.4,7.1,5.5,0.06,moderate,spring-mountain-conservation-park-best-of.gpx
13.74,606,912,44.1,1272,683,589,8.0,51.4,7.5,7.6,0.2,moderate,new-york-catskill-trails-slide-mountain-de-bouton-memorial-s.gpx
17.12,987,1027,57.6,350,2,348,8.8,47.8,8.5,10.8,0.13,moderate,cinque-terre-07-08-2019-riomaggiore-manarola-volastra-cornig.gpx
14.86,868,1735,58.4,4084,3076,1008,15.1,68.1,14.7,26.2,0.33,moderate,malchin-and-nairamdal.gpx
16.64,891,892,53.5,2313,1756,556,8.4,66.5,9.3,7.0,0.03,easy,can-07-lago-louise-y-llano-de-los-seis-glaciares-lake-louise.gpx
8.33,387,605,46.5,516,278,238,9.3,51.1,9.3,13.2,0.05,difficult,iowa-hill-road-to-yankee-jims-bridge.gpx
19.22,948,907,49.3,4150,3283,867,6.6,48.8,6.4,5.3,0.07,difficult,nunga-parbad.gpx
14.73,1206,1208,81.9,1333,265,1068,12.3,75.5,12.1,16.3,0.16,difficult,george-peak-vkm-circuit-outeniqua-nr-george-western-cape-za.gpx
12.9,89,1401,6.9,1974,611,1364,8.7,66.9,9.9,11.1,0.27,easy,discover-the-beauty-seegrube-to-innsbruck-hiking-route-alpin.gpx
7.3,421,425,57.6,4303,4031,272,9.8,55.6,11.6,12.7,0.11,easy,cusco-laguna-kinsaqocha-laguna-azulqocha-laguna-pumaqocha-tr.gpx
11.66,769,368,66.0,2924,2317,607,6.9,49.9,7.0,5.3,0.14,difficult,dagri-bangalow-trek.gpx
10.07,243,239,24.2,1355,1185,170,4.1,38.3,5.4,1.8,0.12,easy,cascacada-el-purgatorio-el-purgatorio-waterfalls-rafrascia-m.gpx
5.21,154,133,29.5,55,0,55,4.2,37.2,5.5,2.8,0.06,easy,guarda-do-embau-prainha-palhoca-sc.gpx
28.51,1637,1435,57.4,1473,208,1265,8.6,51.3,8.0,9.1,0.2,very difficult,kepler-track-day-1-with-caves-and-waterfall.gpx
23.12,1767,1336,76.4,2157,1218,939,10.4,59.5,9.2,13.2,0.09,moderate,fra-ita-swi-tour-mont-blanc-trek-9d-8n-etapa-7-de-9-refuge-r.gpx
54.82,2432,2478,44.4,4615,2517,2098,7.5,52.4,7.6,7.3,0.13,moderate,cusco-ollantaytambo-ancascocha-trek-3d-2n.gpx
19.05,776,832,40.7,4810,4344,466,6.5,53.9,6.8,4.5,0.11,moderate,oyon-nevado-quesillojanca-laguna-aguascocha-laguna-viconga-t.gpx
6.69,472,468,70.5,1001,633,369,10.2,58.4,8.9,13.3,0.17,moderate,gaucin-ruta-i-town-hall-walk-i-la-cumbre-del-hacho-up-to-the.gpx
22.94,2235,789,97.5,1879,141,1738,10.1,67.1,9.9,11.2,0.23,difficult,kote-kome-to-soha-lake-from-anisho-waterfall.gpx
6.44,301,303,46.8,576,376,201,8.5,50.7,9.5,8.7,0.08,easy,woodstock-cave-table-mountain-np-cape-town.gpx
20.03,2030,245,101.3,1846,47,1799,9.2,63.6,9.1,10.4,0.16,difficult,lamir-to-soha-lake.gpx
7.3,316,312,43.2,1698,1424,273,6.4,49.4,6.7,5.3,0.24,easy,cascades-lookout-rock-and-tiger-falls-loop-mahai-royal-natal.gpx
12.37,797,784,64.4,1862,1525,338,9.4,40.4,8.4,13.1,0.14,difficult,pr1-pico-do-arieiro-pico-ruivo-and-back.gpx
